PATH,METHODS
/fleet/vehicles/{vehicle_pk}/alerts/{id}/resolve/,POST
/fleet/vehicles/{vehicle_pk}/data_request/,POST
/fleet/vehicles/{vehicle_pk}/faultoccurrances/,GET
/fleet/vehicles/{vehicle_pk}/faultoccurrances/{id}/,"GET, DELETE"
/fleet/vehicles/{vehicle_pk}/faultoccurrances/{id}/clear/,POST
/fleet/vehicles/{vehicle_pk}/geofence_summary/,GET
/hub/trips/,POST
/hub/trips/close_trip/,POST
/hub/trips/{id}/,DELETE
/logbook/charging_sessions/,GET
/logbook/diagnostics/,GET
/logbook/events/,GET
/logbook/events_histogram/,GET
/logbook/fleet_summary/alerts/,GET
/logbook/fleet_summary/devices/,GET
/logbook/fleet_summary/diagnostics/,GET
/logbook/fleet_summary/geofences/,GET
/logbook/fleet_summary/timedistance/,GET
/logbook/fleet_summary/vehicles/,GET
/logbook/most_recent_vehicle_positions/,GET
/logbook/raw/,GET
/logbook/recent_stats/,GET
/logbook/requeue_events/,POST
/logbook/rfid_status/,GET
/logbook/simplified_events/,GET
/logbook/storage/data_fields/,GET
/logbook/storage/fields/,GET
/logbook/storage/raw/,GET
/logbook/storage/read/,GET
/logbook/storage/v2/raw/,GET
/logbook/trips/,GET
/logbook/trips/{id}/,"GET, PUT, PATCH"
/logbook/v2/most_recent_position/,GET
/logbook/v2/most_recent_positions/,GET
/logbook/v2/recent_stats/,GET
/logbook/v2/trips/,GET
/logbook/v2/trips/{id}/,"GET, PUT, PATCH"
/logbook/v2/trips/{id}/edit_trip_times/,PATCH
/obd/canmessages/,"GET, POST"
/obd/canmessages/{canmessage_pk}/signals/,GET
/obd/canmessages/{canmessage_pk}/signals/{id}/,DELETE
/obd/canmessages/{id}/,"GET, PUT, PATCH, DELETE"
/obd/canmessages/{id}/associate_to_busses/,POST
/obd/canmessages/{id}/associate_to_vehicle/,POST
/obd/canmessages/{id}/buses/,GET
/obd/canmessages/{id}/duplicate/,POST
/obd/canmessages/{id}/pull_pending_changes/,POST
/obd/canmessages/{id}/remove_parent_relationship/,POST
/obd/canmessagestemplate/,"GET, POST"
/obd/canmessagestemplate/{id}/,"GET, PUT, PATCH, DELETE"
/obd/canmessagestemplate/{id}/associate_to_busses/,POST
/obd/canmessagestemplate/{id}/associate_to_vehicle/,POST
/obd/canmessagestemplate/{id}/duplicate/,POST
/obd/canmessagestemplate/{id}/pull_pending_changes/,POST
/obd/canmessagestemplate/{id}/remove_parent_relationship/,POST
/obd/community/search/,GET
/obd/diagnostics/,GET
/obd/faultdefinitions/,"GET, POST"
/obd/faultdefinitions/{id}/,"GET, PUT, PATCH, DELETE"
/obd/faultoccurrances/,GET
/obd/faultoccurrances/{id}/,"GET, DELETE"
/obd/faultoccurrances/{id}/clear/,POST
/obd/library/import/can/,POST
/obd/library/search/,GET
/obd/loggers/,GET
/obd/loggers/can/,"GET, POST"
/obd/loggers/can/{id}/,"GET, PUT, DELETE"
/obd/loggers/mini/,"GET, POST"
/obd/loggers/mini/{id}/,"GET, PUT, DELETE"
/obd/loggers/pid/,"GET, POST"
/obd/loggers/pid/{id}/,"GET, PUT, DELETE"
/obd/loggers/restore/,POST
/obd/mini/loggers/,"GET, POST"
/obd/mini/loggers/{id}/,"GET, PUT, DELETE"
/obd/mini/parameters/,GET
/obd/mini/parameters/{id}/,GET
/obd/pgns/,"GET, POST"
/obd/pgns/meta/,GET
/obd/pgns/{id}/,"GET, PUT, PATCH, DELETE"
/obd/pids/,"GET, POST"
/obd/pids/{id}/,"GET, PUT, PATCH, DELETE"
/obd/pids/{id}/associate_to_busses/,POST
/obd/pids/{id}/associate_to_vehicle/,POST
/obd/pids/{id}/buses/,GET
/obd/pids/{id}/duplicate/,POST
/obd/pids/{id}/pull_pending_changes/,POST
/obd/pids/{id}/remove_parent_relationship/,POST
/obd/pidstemplate/,"GET, POST"
/obd/pidstemplate/{id}/,"GET, PUT, PATCH, DELETE"
/obd/pidstemplate/{id}/associate_to_busses/,POST
/obd/pidstemplate/{id}/associate_to_vehicle/,POST
/obd/pidstemplate/{id}/duplicate/,POST
/obd/pidstemplate/{id}/pull_pending_changes/,POST
/obd/pidstemplate/{id}/remove_parent_relationship/,POST
/obd/spns/,"GET, POST"
/obd/spns/{id}/,"GET, PUT, PATCH, DELETE"
/obd/supportedcanmessages/,GET
/obd/v2/library/import/can/,POST
/obd/v2/library/import/pid/,POST
/reporting/reports/,"GET, POST"
/reporting/reports/available_geofences/,GET
/reporting/reports/unique_vehicles_count/,GET
/reporting/reports/user_emails/,GET
/reporting/reports/{id}/,"GET, DELETE"
/reporting/reports/{id}/data/,GET
/reporting/reports/{id}/download/,GET
/reporting/reports/{id}/render/,GET
/reporting/schedules/,"GET, POST"
/reporting/schedules/preview/,POST
/reporting/schedules/{id}/,"GET, PUT, PATCH, DELETE"
/tasks/,"GET, POST"
/tasks/enqueue_export/,POST
/tasks/in_progress/,GET
/tasks/{id}/,"GET, DELETE"
/tasks/{id}/clear_result/,POST
/tasks/{id}/progress/,GET
/tasks/{id}/result_trip_export/,GET
/vehicle/busses/,"GET, POST"
/vehicle/busses/{id}/,"GET, PUT, PATCH, DELETE"
/vehicle/group/,"GET, POST"
/vehicle/group/vehicles/,GET
/vehicle/group/{id}/,"GET, PUT, PATCH, DELETE"
/vehicle/group/{id}/vehicles/,GET
/vehicle/makes/,GET
/vehicle/models/,GET
/vehicle/models/{make_id}/,GET
/vehicle/profile/,"GET, POST"
/vehicle/profile/{id}/,"GET, PUT, PATCH, DELETE"
/vehicle/profile/{profile_pk}/recharge_sessions/,GET
/vehicle/profile/{profile_pk}/recharge_sessions/{id}/,GET
/vehicle/v2/profile/,"GET, POST"
/vehicle/v2/profile/{id}/,"GET, PUT, PATCH, DELETE"
